Key,English,Japanese,Korean,Taiwan,Chinese,French,Spanish,Portuguese,Thai,Indonesian,Vietnamese,Russian,German
[CommonNoneLabel],ー,ー,ー,ー,ー,ー,ー,—,ー,ー,ー,ー,ー
[CommonTwitterLabel],X,X,X,X,X,X,X,X,X,X,X,X,X
[CommonGooglePlayLabel],Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play,Google Play
[CommonAppleLabel],Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple,Apple
[CommonUnlinkLabel],Unlink Account,連携解除,연동 해제,解除連動,解除绑定,Délier,Desvinc.,Desvinc.,ยกเลิกการลิงก์,Putus ,Hủy Liên Kết Tài Khoản,Отмена привязки аккаунта,Kontoverknüpfung trennen
[CommonErrorMessageFormat],{0}<br>Error Code: {1},{0}<br>エラーコード：{1},{0}<br>오류 코드 : {1},{0}<br>系統錯誤代碼：{1},{0}<br>错误代码：{1},{0}<br>Code d'erreur : {1},{0}<br>Código de error: {1},{0}<br>Código de erro:{1},{0}<br>รหัสข้อผิดพลาด: {1},{0}<br>Kode Eror: {1},{0}<br>Mã Lỗi: {1},{0}<br>Код ошибки: {1},{0}<br>Fehlercode: {1}
[CommonNoticeTitle],Notice,通知,알림,通知,通知,Notifications,Aviso,Notificação,ประกาศ,Pemberitahuan,Thông Báo,Уведомление,Hinweis
[DialogCommonErrorTitle],Error,エラー,오류,系統錯誤,错误,Erreur,Error,Erro,ข้อผิดพลาด,Eror,Lỗi,Ошибка,Fehler
[DialogCommonNetworkErrorTitle],Network Error,通信エラー,네트워크 오류,網路連線異常,网络异常,Erreur de communication,Error de red,Erro de comunicação,ข้อผิดพลาดของเครือข่าย,Jaringan Eror,Lỗi Mạng,Ошибка соединения,Netzwerkfehler
[DialogCommonNoticeTitle],Notices,お知らせ,공지사항,公告,公告,Annonces,Avisos,Avisos,ประกาศ,Notis,Thông Báo,Уведомления,Hinweise
[DialogCommonErrorUnknownMessageFormat],An error has occurred.<br>Returning to the title screen.<br>{0},エラーが発生しました<br>タイトルに戻ります<br>{0},오류가 발생했습니다.<br>타이틀 화면으로 돌아갑니다.<br>{0},系統發生錯誤。<br>將返回登入畫面。<br>{0},发生错误。<br>即将返回登录界面。<br>{0},Une erreur est survenue.<br>Retour à l'écran titre.<br>{0},Ocurrió un error.<br>Volviendo al título.<br>{0},Ocorreu um erro.<br>Retornando à tela de título.<br>{0},เกิดข้อผิดพลาด<br>กลับไปยังหน้าเริ่มต้น<br>{0},Telah terjadi eror.<br>Kembali ke layar judul.<br>{0},Đã xảy ra lỗi.<br>Quay lại màn hình tiêu đề.<br>{0},Произошла ошибка.<br>Возвращение на титульный экран.<br>{0},Ein Fehler ist aufgetreten.<br>Kehre zum Titelbildschirm zurück.<br>{0}
[CommonPlayerRankLabel],Rank,ランク,랭크,等級,等级,Rang,Rango,Categoria,อันดับ,Peringkat,Cấp Bậc,Ранг,Rang
[ErrorMessage1],A server error has occurred.,サーバー側でハンドリングされていないか、古い構造の例外が発生しました,서버 오류가 발생했습니다,伺服器發生錯誤。,发生服务器端未处理或过时的异常。,Une erreur s'est produite sur le serveur.,Ocurrió un error del servidor.,"Não tratado pelo servidor, ou ocorreu uma exceção de tipo obsoleto.",เซิร์ฟเวอร์เกิดข้อผิดพลาด,Telah terjadi eror di server.,Đã xảy ra lỗi máy chủ.,Ошибка сервера.,Ein Serverfehler ist aufgetreten.
[ErrorMessage2],The header is fraudulent.,Headerが不正です,비정상적인 헤더입니다.,Header異常。,标题信息发生错误。,Header invalide.,El encabezado es fraudulento.,Cabeçalho inválido.,เฮดเดอร์ไม่ถูกต้อง,Judul meragukan.,Tiêu đề không hợp lệ.,Некорректный заголовок.,Die Kopfzeile ist ungültig.
[ErrorMessage102],"Service is currently down for maintenance.<br>While service is down, please chat on our<br>social media accounts!",サービスを停止してメンテナンスを実施しています。<br>サーバー停止中はSNSで交流しましょう！,서버 점검 중입니다.<br>기다리는 동안 SNS에서 이야기 나눠 봐요!,系統維護中，相關服務暫時停止。<br>伺服器暫停期間，請到官方社群網站與同好交流吧！,系统维护中，相关服务暂时停止。<br>服务器暂停期间，请前往官方社群网站与同好交流吧！,Le service est suspendu pour<br>cause de maintenance.<br>Échangez sur nos réseaux en attendant son retour !,"El servicio actualmente está<br>inactivo por mantenimiento.<br>Mientras el servicio está desactivado,<br>¡Chatea en nuestras redes sociales!","Interrompemos o serviço<br>para realizar uma manutenção.<br>Enquanto o servidor está indisponível,<br>interaja com outros jogadores nas redes sociais!",ขณะนี้เซิร์ฟเวอร์กำลังปิดให้บริการเพื่อซ่อมบำรุง<br>ขณะที่เซิร์ฟเวอร์ปิดให้บริการ<br>คุณสามารถติดต่อเราได้ทางโซเชียลมีเดีย!,"Pelayanan saat ini sedang tidak aktif dikarenakan maintenance.<br>Ketika pelayanan tidak aktif, silakan chat ke<br>akun sosial media kami!","Dịch vụ hiện đang tạm ngưng hoạt động để bảo trì.<br>Trong khi dịch vụ tạm ngưng hoạt động, vui lòng trò<br> chuyện trên các tài khoản mạng xã hội của chúng tôi!","В настоящее время проводится техобслуживание.<br>Общайтесь в наших социальных сетях,<br>пока сервера недоступны!",Der Dienst ist aufgrund von Wartungsarbeiten<br>momentan nicht erreichbar.<br>In der Zwischenzeit kannst du dich mit anderen<br>Spielern auf unseren sozialen Medien unterhalten!
[ErrorMessage103],A new version is available.<br>Please update from the store<br>and restart the app.,最新バージョンがあります。<br>ストアからアプリを更新して<br>再起動してください。,최신 버전이 있습니다.<br>스토어에서 앱 업데이트 후<br>게임을 다시 실행해 주세요.,版本更新。<br>請到應用程式商店下載最新版本<br>並重新啟動遊戲。,版本存在更新。<br>请前往应用程序商店更新后<br>重新启动游戏。,"Une nouvelle version est disponible.<br>Veuillez mettre l'application à jour via le Store,<br>puis la redémarrer.",Una nueva versión está disponible.<br>Actualiza desde la tienda<br>y reinicia la aplicación.,Há uma versão mais recente.<br>Atualize o aplicativo na loja<br>e depois o reinicie.,เวอร์ชันใหม่พร้อมให้บริการแล้ว<br>โปรดเข้าสู่แอปสโตร์เพื่ออัปเดต<br>แล้วจึงเข้าแอปอีกครั้ง,Versi baru telah tersedia.<br>Silakan update dari store<br>dan restart aplikasi.,Đã có phiên bản mới.<br>Vui lòng cập nhật từ cửa hàng<br>và khởi động lại ứng dụng.,Доступна новая версия.<br>Обновите приложение через магазин<br>и перезапустите игру.,Eine neue Version ist verfügbar.<br>Bitte aktualisiere die App in deinem Store<br>und starte sie neu.
[ErrorMessage402],The master data for the app’s assets cannot be found.,アプリアセットのマスターデータが見つかりません,앱의 애셋 마스터 데이터가 없습니다.,找不到App的資源主數據。,找不到应用的资源主数据。,Aucune donnée de référence<br>d'asset de l’application.,No se encuentran los datos maestros<br>de los recursos de la aplicación.,Dados de mestre dos ativos<br>de aplicativo não encontrados.,ไม่พบมาสเตอร์ดาต้าสำหรับแอสเซทของแอป,Data master untuk aset aplikasi tidak dapat ditemukan.,Không thể tìm thấy dữ liệu chính cho nội dung của ứng dụng.,Не удалось найти мастер-данные<br>ассетов приложения.,Die Stammdaten für die Inhalte dieser App können nicht gefunden werden.
[ErrorMessage998],New user account creation is currently unavailable.<br>Please check our official X for information on<br>when creation will become available again.,現在、新規のお客様のアカウント作成を停止しております。<br>再開時期等の情報は公式Xをご確認ください。,현재 신규 계정 생성을 제한 중입니다.<br>제한 해제 시점 등에 관한 자세한 정보는<br>공식 X에서 확인해 주세요.,目前暫時停止新帳號註冊。<br>下回開放時間與更多詳情請至官方X查詢。,目前暂停注册新账号。<br>下次开放时间与相关信息请前往日文官方X查询。,"La création de nouveaux comptes<br>est temporairement indisponible.<br>Consultez notre compte X<br>régulièrement pour des mises à jour<br>concernant son retour, entre autres.",La creación de cuentas nuevas no<br>está disponible en este momento.<br>Consulta nuestro X oficial para más<br>detalles sobre cuándo estará disponible de nuevo.,Não é possível criar novas contas<br>de usuário no momento.<br>Confira nosso X oficial para saber<br>quando o serviço será disponibilizado novamente.,ขณะนี้ยังไม่สามารถสร้างบัญชีผู้ใช้ใหม่ได้<br>คุณสามารถติดตามข้อมูลการเปิดให้สร้างบัญชีอีกครั้ง<br>ได้ทาง X ทางการของเรา,Pembuatan akun pengguna baru saat ini sedang<br>tidak tersedia.<br>Silakan cek X resmi kami untuk mendapatkan<br>informasi tentang kapan pembuatan akun akan<br>tersedia kembali.,Tính năng tạo tài khoản người dùng mới hiện không khả dụng.<br>Vui lòng kiểm tra X chính thức của chúng tôi để biết<br>thông tin về<br>khi tính năng tạo tài khoản mới sẽ khả dụng trở lại.,"В настоящее время создание новых учетных записей недоступно.<br>Следите за нашим официальным аккаунтом X,<br>чтобы узнать, когда функция будет доступна снова.","Momentan können keine neuen Benutzerkonten<br>erstellt werden. Bitte informiere dich<br>über unseren offiziellen X-kanal, wann<br>die Kontoerstellung wieder verfügbar sein wird."
[ErrorTitle999],New Player Creation Unavailable,新規プレイヤー作成停止中,신규 플레이어 생성 제한 중,人數已滿,暂停注册新账号,Création de nouveaux joueurs indisponible.,No es posible crear una cuenta nueva,Criação de novos jogadores não disponível,ไม่สามารถสร้างผู้เล่นใหม่ได้,Pembuatan Pemain Baru Tidak Tersedia,Không Thể Tạo Người Chơi Mới,Создание новых игроков недоступно,Erstellung neuer Spieler nicht verfügbar.
[ErrorMessage999],The World you have selected is not accepting new<br>players at this time. Please select another World.,選択中のワールドは新規プレイヤー作成を停止しております。他のワールドを選択して下さい。,선택하신 월드에서는 현재<br>플레이어 생성을 제한 중입니다.<br>다른 월드를 선택해 주세요.,您選擇的世界目前人數已滿，請選擇其他世界。,您选择的世界目前停止注册新账号，请选择其他世界。,La création de nouveaux joueurs<br>est actuellement indisponible<br>dans le monde sélectionné.<br>Veuillez sélectionner<br>un autre monde.,El mundo que seleccionaste no está aceptando<br>nuevas personas en este momento.<br>Elige otro mundo.,Não é possível criar novos jogadores no mundo<br>selecionado. Selecione um mundo diferente.,โลกที่คุณเลือก<br>ยังไม่เปิดรับผู้เล่นใหม่ในขณะนี้<br>โปรดเลือกโลกอื่น,World yang kamu pilih tidak menerima pemain<br>baru saat ini. Silakan pilih World lain.,Thế Giới bạn chọn hiện không chấp nhận<br>người chơi mới. Vui lòng chọn Thế Giới khác.,"В настоящее время выбранный вами мир<br>не принимает новых игроков.<br>Пожалуйста, выберите другой мир.",Die ausgewählte Welt nimmt momentan<br>keine neuen Spieler an.<br>Bitte wähle eine andere Welt aus.
[ErrorMessage10001],There is no player data.,プレイヤーデータがありません,플레이어 데이터가 없습니다.,找不到玩家的資料。,找不到玩家数据。,Aucune donnée de joueur.,No hay datos de cuenta.,Não há dados de jogador.,ไม่มีข้อมูลผู้เล่น,Tidak ada data pemain.,Không có dữ liệu người chơi.,Данные игрока отсутствуют.,Keine Spielerdaten vorhanden.
[ErrorMessage10010],Failed to authorize.,認証に失敗しました,인증에 실패했습니다.,驗證失敗。,验证失败。,Échec d'authentification.,No se pudo autorizar.,Falha na autenticação.,การยืนยันสิทธิล้มเหลว,Gagal mengotorisasi.,Không thể cấp quyền.,Авторизация не удалась.,Fehler bei der Autorisierung.
[ErrorMessage10101],This request is fraudulent.,リクエストが不正です,비정상적인 요청입니다.,錯誤的請求。,无效请求。,Requête invalide.,Esta solicitud es fraudulenta.,Solicitação inválida.,คำร้องขอไม่ถูกต้อง,Permintaan ini meragukan.,Yêu cầu này không hợp lệ.,Некорректный запрос.,Diese Anfrage ist ungültig.
[ErrorMessage10102],"A password must only use numbers,<br>uppercase and lowercase letters,<br>and be 8-16 characters long.",パスワードは数字、大文字、小文字のみ使用した8文字以上16文字以内です,패스워드는 숫자 및 영문 대/소문자를 포함해<br>8~16자 사이로 입력해 주세요.,請使用數字、英文大小寫字母設定長度為<br>8至16個字元的密碼。,请使用数字、大小写英文字母<br>设置长度为8至16个字符的密码。,Le mot de passe doit être constitué d'entre 8 et 16 chiffres et lettres (majuscules et minuscules).,"La contraseña solo debe usar números,<br>letras mayúsculas y minúsculas,<br>y tener entre 8 y 16 caracteres.","A senha deve ter entre 8 e 16 caracteres, contendo apenas números e letras<br>maiúsculas ou minúsculas.",รหัสผ่านจะต้องมีความยาว 8-16 ตัวอักษร โดยอยู่ในรูปของตัวเลข<br>ตัวอักษรใหญ่<br>และตัวอักษรเล็กเท่านั้น,"Kata sandi hanya boleh menggunakan angka,<br>huruf besar dan huruf kecil,<br>serta panjangnya 8-16 karakter.","Mật khẩu chỉ được bao gồm số,<br>chữ cái viết hoa và viết thường,<br>và dài từ 8-16 ký tự.",Пароль должен состоять только из цифр<br>и строчных и заглавных букв.<br>Допустимая длина пароля 8-16 символов.,Im Passwort können nur Zahlen sowie<br>Groß- und Kleinbuchstaben verwendet werden.<br>Die Länge muss 8–16 Zeichen betragen.
[ErrorMessage10201],Failed to create player.,プレイヤー作成に失敗しました,플레이어 생성에 실패하였습니다.,建立玩家帳號失敗。,注册玩家账号失败。,Échec de la création de joueur.,No se pudo crear la cuenta.,Falha ao criar jogador.,การสร้างผู้เล่นล้มเหลว,Gagal untuk membuat pemain.,Không thể tạo người chơi.,Не удалось создать игрока.,Spieler konnte nicht erstellt werden.
[ErrorMessage10303],This app is not available in your country or region.,このAppは現在お住いの国または地域ではご利用になれません。,해당 앱은 현재 거주 중인 국가<br>또는 지역에서 사용할 수 없습니다.,此App目前無法在您的國家或地區使用。,此App目前无法在您的国家或地区使用。,Cette application n'est pas<br>disponible dans votre pays ou région.,Esta aplicación no está disponible<br>en tu país o región.,Atualmente este aplicativo não pode ser utilizado<br>no seu país ou região de residência.,แอปนี้ไม่รองรับการใช้งานในประเทศหรือภูมิภาคของคุณ,Aplikasi ini tidak tersedia di negara atau wilayahmu.,Ứng dụng này không khả dụng ở quốc gia hoặc khu vực của bạn.,Это приложение недоступно в вашей стране или<br>вашем регионе.,Diese App ist in deinem Land oder deiner Region<br>nicht verfügbar.
[ErrorMessage10401],This request is fraudulent.,リクエストが不正です,비정상적인 요청입니다.,錯誤的請求。,无效请求。,Requête invalide.,Esta solicitud es fraudulenta.,Solicitação inválida.,คำร้องขอไม่ถูกต้อง,Permintaan ini meragukan.,Yêu cầu này không hợp lệ.,Некорректный запрос.,Diese Anfrage ist ungültig.
[ErrorMessage10402],The account you are trying to log in to<br>has already been deleted.,ログインしようとしているアカウントは既に削除されました。,접속하려는 계정은 이미 삭제되었습니다.,嘗試登入的帳號已被刪除。,尝试登录的账号已被删除。,Le compte auquel vous tentez de vous connecter a déjà été supprimé.,La cuenta en la que intentas<br>iniciar sesión ya se eliminó.,A conta na qual você está tentando fazer login<br>já foi excluída.,บัญชีที่ท่านต้องการเข้าสู่ระบบ<br>ถูกลบแล้ว,Akun yang kamu coba masuki<br>telah dihapus.,Tài khoản bạn muốn đăng nhập vào<br>đã bị xóa.,"Аккаунт, в который вы пытаетесь войти,<br>уже удален.","Das Konto, bei dem du dich anzumelden versuchst,<br>wurde bereits gelöscht."
[ErrorMessage10501],This server is full.,サーバーが満員です,서버의 정원이 가득 찼습니다. ,伺服器人數已滿。,服务器人数已满。,Le serveur est surchargé.,Este servidor está lleno.,O servidor está cheio.,เซิร์ฟเวอร์นี้เต็มแล้ว,Server ini penuh.,Máy chủ này đã đầy.,Сервер переполнен.,Der Server ist voll.
[ErrorMessage10502],This request is fraudulent.,リクエストが不正です,비정상적인 요청입니다.,錯誤的請求。,无效请求。,Requête invalide.,Esta solicitud es fraudulenta.,Solicitação inválida.,คำร้องขอไม่ถูกต้อง,Permintaan ini meragukan.,Yêu cầu này không hợp lệ.,Некорректный запрос.,Diese Anfrage ist ungültig.
[ErrorMessage10503],An error has occurred.,エラーが発生しました,오류가 발생했습니다,發生錯誤。,发生错误。,Une erreur est survenue.,Ocurrió un error.,Ocorreu um erro.,เกิดข้อผิดพลาด,Telah terjadi eror.,Đã xảy ra lỗi.,Возникла ошибка.,Ein Fehler ist aufgetreten.
[ErrorMessage10601],Player data does not exist.,プレイヤーデータが存在しません,플레이어 데이터가 존재하지 않습니다.,找不到玩家的資料。,找不到玩家数据。,Aucune donnée de joueur.,No hay datos de cuenta.,Não existem dados de jogador.,ไม่พบข้อมูลผู้เล่น,Data pemain tidak ada.,Dữ liệu người chơi không tồn tại.,Данные игрока не существуют.,Spielerdaten nicht vorhanden.
[ErrorMessage10602],This request is fraudulent.,リクエストが不正です,비정상적인 요청입니다.,錯誤的請求。,无效请求。,Requête invalide.,Esta solicitud es fraudulenta.,Solicitação inválida.,คำร้องขอไม่ถูกต้อง,Permintaan ini meragukan.,Yêu cầu này không hợp lệ.,Некорректный запрос.,Diese Anfrage ist ungültig.
[ErrorMessage10603],"A password must only use numbers,<br>uppercase and lowercase letters,<br>and be 8-16 characters long.",パスワードは数字、大文字、小文字のみ使用した8文字以上16文字以内です,패스워드는 숫자 및 영문 대/소문자를 포함해<br>8~16자 사이로 입력해 주세요.,請使用數字、英文大小寫字母設定長度為<br>8至16個字元的密碼。,请使用数字、大小写英文字母<br>设置长度为8至16个字符的密码。,Le mot de passe doit être constitué d'entre 8 et 16 chiffres et lettres (majuscules et minuscules).,"La contraseña solo debe usar números,<br>letras mayúsculas y minúsculas,<br>y tener entre 8 y 16 caracteres.","A senha deve ter entre 8 e 16 caracteres,<br>contendo apenas números e letras<br>maiúsculas ou minúsculas.",รหัสผ่านจะต้องมีความยาว 8-16 ตัวอักษร โดยอยู่ในรูปของตัวเลข<br>ตัวอักษรใหญ่<br>และตัวอักษรเล็กเท่านั้น,"Kata sandi hanya boleh menggunakan angka,<br>huruf besar dan huruf kecil,<br>serta panjangnya 8-16 karakter.","Mật khẩu chỉ được bao gồm số,<br>chữ cái viết hoa và viết thường,<br>và dài từ 8-16 ký tự.",Пароль должен состоять только из цифр<br>и строчных и заглавных букв.<br>Допустимая длина пароля 8-16 символов.,Im Passwort können nur Zahlen sowie<br>Groß- und Kleinbuchstaben verwendet werden.<br>Die Länge muss 8–16 Zeichen betragen.
[ErrorMessage10604],This password is incorrect.,パスワードが正しくありません,잘못된 패스워드입니다.,密碼錯誤。,密码错误。,Mot de passe incorrect.,Esta contraseña es incorrecta.,A senha está incorreta.,รหัสผ่านไม่ถูกต้อง,Kata sandi ini tidak benar.,Mật khẩu này không chính xác.,Неверный пароль.,Dieses Passwort ist falsch.
[ErrorMessage10605],Failed to acquire player information.,プレイヤー情報の取得に失敗しました,플레이어 정보를 불러오지 못했습니다.,無法取得玩家資料。,无法获取玩家数据。,Échec de la récupération des<br>informations de joueur.,No se pudo obtener la información de cuenta.,Falha ao recuperar dados de jogador.,การดึงข้อมูลผู้เล่นล้มเหลว,Gagal mendapatkan informasi pemain.,Không lấy được thông tin người chơi.,Не удалось получить информацию об игроке.,Spielerinformationen konnten nicht<br>abgerufen werden.
[ErrorMessage10607],There is no player data.,プレイヤーデータがありません,플레이어 데이터가 없습니다.,找不到玩家的資料。,找不到玩家数据。,Aucune donnée de joueur.,No hay datos de cuenta.,Não há dados de jogador.,ไม่มีข้อมูลผู้เล่น,Tidak ada data pemain.,Không có dữ liệu người chơi.,Данные игрока отсутствуют.,Keine Spielerdaten vorhanden.
[ErrorMessage5000100],DMM GAME PLAYERからゲームを起動しなおしてください,DMM GAME PLAYERからゲームを起動しなおしてください,DMM GAME PLAYERからゲームを起動しなおしてください,DMM GAME PLAYERからゲームを起動しなおしてください,DMM GAME PLAYERからゲームを起動しなおしてください,DMM GAME PLAYERからゲームを起動しなおしてください,DMM GAME PLAYERからゲームを起動しなおしてください,DMM GAME PLAYERからゲームを起動しなおしてください,DMM GAME PLAYERからゲームを起動しなおしてください,DMM GAME PLAYERからゲームを起動しなおしてください,DMM GAME PLAYERからゲームを起動しなおしてください,DMM GAME PLAYERからゲームを起動しなおしてください,DMM GAME PLAYERからゲームを起動しなおしてください
[ErrorMessage5000101],This request is fraudulent.,リクエストが不正です,비정상적인 요청입니다.,錯誤的請求。,无效请求。,Requête invalide.,Esta solicitud es fraudulenta.,Solicitação inválida.,คำร้องขอไม่ถูกต้อง,Permintaan ini meragukan.,Yêu cầu này không hợp lệ.,Некорректный запрос.,Diese Anfrage ist ungültig.
[ErrorMessage5000102],DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました
[ErrorMessage5000103],DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました
[ErrorMessage5000104],DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました
[ErrorMessage5000105],DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました
[ErrorMessage5000106],DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました
[ErrorMessage5000107],DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました,DMM GAMESとの連携時にエラーが発生しました
